a,b,c,expected
7b2c,58f2,129d,7c00
edd0,cf8f,3583,7c00
715d,8cd3,3922,c130
da3c,bdfd,d5fa,5a59
8684,0e6c,054d,054d
4b7f,95a8,ab28,ace7
6767,871b,5089,5082
e875,627c,04b3,fc00
90dd,0571,909f,909f
04cb,6a2c,420f,4285
1a59,1fbf,9b22,9b22
9268,37cf,6690,6690
dc6f,00d6,79a9,79a9
c795,d2b1,d614,5cd3
12e1,1c2d,2c38,2c38
b304,a5e5,3633,3648
859e,dfa0,e5ae,e5ae
0c82,3e34,3a52,3a53
07b7,4c11,d99b,d99b
508e,e531,b1a0,f9e9
c61b,d32d,6c70,6cc8
ea73,eb47,cd77,7c00
15e7,a6fa,a670,a670
845d,dc00,a1c6,1de8
2eb6,1f39,9dcd,9d0b
6c94,0e37,7e45,7e00
d690,804d,a286,a286
044e,f347,5bbb,5bb3
c0f7,6eaf,7c09,7e00
8cdc,c47e,3828,382b
a792,f6bd,fbc1,fba8
1387,619d,ee6a,ee6a
e2a3,2cb1,2851,d3c8
0581,9e04,66ad,66ad
214c,4927,61b8,61b8
5b0a,7e75,b2c7,7e00
f1ee,f7a5,6210,7c00
564a,5c78,0719,7707
6e26,1b61,68c2,68cd
49f1,1098,5157,5157
b6f4,9073,6bd6,6bd6
0f9d,73ad,3c28,482c
a067,48f7,23da,ac7c
d3b1,c16b,eaab,ea58
bd09,e748,4581,6898
9377,6494,04ca,bc46
8d75,3fc9,2c18,2c0d
17e7,83c4,8715,8715
2dc4,f9c8,280a,ec2b
6fab,8504,da05,da0a
e8e0,d50f,8af7,7c00
b82d,e197,600d,62f8
0217,f16c,40fd,40fd
4b4b,f596,dba6,fc00
a705,96f6,11e8,11e8
6f14,4c6f,f0c8,7c00
dd2d,0068,c0e3,c0e3
9da8,59e7,c7ed,c87c
76ba,41c4,2b6f,7c00
e6a9,ffde,c4ba,7e00
87a2,7228,1d42,bddb
0d52,a052,4340,4340
2955,0092,63d9,63d9
c94e,6e92,5b18,fc00
4aa6,36ff,48de,4bc6
125d,6d77,2ea0,4474
f0f7,b1cf,39a7,6737
750b,d35b,3e9d,fc00
6ff7,a645,a2a9,da3e
c18d,6904,35a3,eef6
45ba,01b8,5ed6,5ed6
273b,eddf,53de,d6ad
924d,03df,1dbe,1dbe
2bb0,67da,a6c0,578b
1b70,e133,ca88,cbbd
408f,ae22,2149,b2a8
e770,030f,e3dd,e3dd
8ca0,5932,3d3c,3d0c
3a4e,4b3a,ec7e,ec7b
7766,b9c7,c803,f559
0deb,2581,ef46,ef46
11f8,80b9,9b65,9b65
743d,5f61,ed18,7c00
2f46,a518,267a,25e6
b741,8f19,4ae3,4ae3
4bef,7365,2969,7c00
a8b6,63ed,6882,686f
c7ad,369c,58b9,58a0
cd8a,feea,8e94,7e00
6c2a,cc03,4d44,fc00
dcc5,a315,8b6d,4439
8d66,1c05,47cd,47cd
5695,5b0f,c7df,75cf
d8a3,8ab1,5e39,5e39
82c6,9256,6d7a,6d7a
84b2,be4d,ac2e,ac2c
3db4,f685,cbe9,f8a6
b298,9d82,2f0c,2f1e
2e72,2034,66f1,66f1
bb42,051e,c57e,c57e
cff5,1242,5550,5550
94b6,68e6,4dc1,4d08
6984,b988,451c,e79c
d4a2,7467,57e3,fc00
bca2,8931,2f1d,2f20
650e,861c,4198,415a
844a,65e4,d538,d53a
c06f,c4f7,d732,d682
0b43,1b7b,1af5,1af5
71ea,7639,868b,7c00
19df,4144,ed69,ed69
0fe9,8ef2,59e4,59e4
39a4,c598,9743,c3e4
5597,f323,6af9,fc00
3881,2722,a47c,9780
6f63,1f07,cec8,4e32
d11b,38bb,59b5,58f4
177d,0367,e02b,e02b
ae09,b404,f364,f364
5977,28ae,f49e,f49e
bcf3,781c,a982,f916
dc99,125e,4001,3f18
794e,29cc,be5b,67ae
b837,9aeb,518d,518d
6d4b,760e,c254,7c00
5b7b,d975,06fd,f91a
cedc,a6f8,abfd,397a
dc2c,8fe2,932e,3015
9613,087b,3291,3291
f0e5,b54e,d23c,6a65
efff,3878,5cff,ec27
16cb,75e1,2204,50fe
4139,4550,484c,4d9e
833b,c68c,2863,2863
3ecf,5127,8ec2,5463
6eb3,ed01,3bd8,fc00
85b4,8ac2,968a,968a
ea0a,2309,061b,d150
9476,e18a,e5f0,e5ef
c4f8,5406,959c,dcff
53c0,bdb3,628e,61dd
6e06,85c3,aa36,b8ba
d782,9c13,077b,37a6
2002,419c,d013,d012
8ffb,ef09,11bc,4305
38e2,c559,ef5d,ef5e
e6d9,1aa4,0d53,c5af
5432,2974,6aa9,6aaa
73c8,7fca,6160,7e00
bc1d,a1dd,08f3,221c
d62c,52d6,af63,ed46
3197,1d9e,9c16,9a36
4834,9429,6ea3,6ea3
2e67,6b70,bca1,5def
9354,6c99,0546,c436
b998,f602,c174,7433
9a2a,45d1,9385,a4b7
ae35,8b33,cded,cded
ba0c,e5c1,666f,6964
c3fe,bc37,5467,54aa
28ae,ffcc,f3c0,7e00
b141,2443,d60c,d60c
ab1d,e9eb,494b,5998
b6a0,36a5,1d2a,b158
db6f,3b61,f302,f31d
2c2a,7b48,f8c6,f84d
5683,d45b,81e9,ef17
4a1f,ef00,8f8c,fc00
4023,c519,9ccc,c947
9e95,fb57,8a8a,5e0a
4b18,1b4e,e0ac,e0ac
26a3,fa65,7121,7077
8da1,591f,cc65,cc69
c298,49c2,a7f3,d0c0
2fba,4078,4438,447d
706a,c8ee,859c,fc00
a014,f648,a354,5a67
8e14,5bc6,2bae,a822
fd9f,7795,5d29,7e00
d80a,2bf6,0e39,c805
5961,a7cd,0eef,c53f
b728,7855,0798,f3c0
728f,fce0,c4c1,7e00
7c66,9b6b,83f1,7e00
f745,eaa1,192d,7c00
742f,fae9,7524,fc00
9415,1f4f,ca86,ca86
38ae,bd4c,f770,f770
97f1,2ef1,6010,6010
cf02,098b,b2c5,b2ec
0c4b,20ca,20e8,20e8
6312,b3fb,b29e,db10
b472,b301,46ec,46fc
805f,327f,6111,6111
fb36,5f03,4f95,fc00
e577,f54d,7a4d,7c00
27e4,b95c,edf2,edf2
7321,68af,be7e,7c00
1ec5,b96a,7ecb,7e00
8797,882c,157a,157a
c75c,1389,d1ad,d1ad
22a3,8661,2532,2532
ab9f,399f,04f2,a959
368e,0088,5439,5439
23a3,8795,9b0c,9b0c
20a8,ba6b,61cd,61cd
5199,5f77,9d7f,7539
6dbc,222b,99d8,546c
e255,2b1d,da4c,dbb4
c4f1,70df,cfa4,fa05
6339,a752,66a2,6688
f879,05fb,ceb0,cf86
96ba,00f3,c8dc,c8dc
dc86,4022,24a6,e0ac
5d05,154d,aadb,35cc
b440,546d,3354,cca5
699a,a3d5,c58a,d22d
0008,1389,4cb5,4cb5
cc2a,0e77,3d31,3d2a
8070,63ad,053e,053e
85b0,82fd,50e6,50e6
dbde,b5df,bd9e,55b0
5bbe,ac87,b1ff,cc6e
02a7,9bbb,36b2,36b2
b784,e99e,d786,64cf
9efd,93ac,882e,882e
1c8d,3718,2454,24d5
c9ae,085c,4dad,4dad
2dac,a09e,1633,11da
237e,e703,d075,d3be
b7e8,de2d,109c,5a1a
0db0,1cc0,2e5f,2e5f
8100,0743,c7fe,c7fe
a9d3,4aba,1ce7,b8dc
8afd,a1a4,fc4d,7e00
1179,4eb3,b4f7,b4ae
7976,af4d,9ef5,ecfc
b1ff,4a81,0414,c0e0
131c,e44b,f551,f551
f9a5,9fe8,5e9f,621a
d6a8,e315,21e3,7c00
f9a9,b88b,ad38,766e
f1d4,2a07,6c9b,6c0e
5b38,44b4,bed5,643c
bff3,5fcf,30cb,e3c2
d2f0,de10,3514,7542
2232,1b86,4fbc,4fbc
7ad3,0be3,abf3,4ab2
ae35,71a8,473b,e45c
262b,c54c,1ee8,afbc
7c1c,76aa,2ba4,7e00
f03c,0fba,6c3c,6c3b
6347,4413,d3ab,6b4b
7037,c2af,9549,f70b
238e,7af8,a0cb,6295
e5b7,14b7,4c2d,4b82
d1b8,342c,fdcf,7e00
ca29,2dbd,0807,bc6b
ef53,800d,b8e4,b8e4
c319,0865,b1f4,b1f8
3528,6eec,941c,6876
1abe,070c,3161,3161
d3d5,c7ec,35d9,5fc2
67e1,51ba,712e,7c00
ecd7,02f7,0f14,0f14
dd5e,3a0b,4669,dbe9
5c17,c714,f203,f2eb
c718,7807,b2a3,fc00
4721,8c71,0231,97ea
00ed,175a,fb1b,fb1b
2c3d,e35c,b47e,d3d5
badc,d6c9,5d2b,5e9f
089f,fe07,15b5,7e00
2d90,538b,fe7c,7e00
4a59,fcf3,d4c2,7e00
9269,15ca,fccd,7e00
2046,db99,6b64,6b63
eda0,75ab,95ef,fc00
581f,9ea5,c4d3,c5ae
7e09,534e,81ce,7e00
b2c5,18f6,ced8,ced8
3080,16c5,594c,594c
144a,b3d7,3fd3,3fd3
e459,0b18,8033,b3b6
b333,1c0b,782d,782d
d688,7f2c,a523,7e00
6888,cc60,9ba7,f8f5
a8a1,d457,9434,4105
686c,b82c,ef7d,f052
5360,cca0,8d1c,e444
4fa5,df2f,bff0,f2dd
43cc,b651,a33a,be36
c13d,02fe,bd22,bd22
09ae,4f3a,f2ba,f2ba
0981,5658,83f9,245d
f3bb,bb85,5a18,735c
b034,abd3,697b,697b
364d,0871,1783,1783
1bc7,4be1,b35b,b171
f537,9101,f890,f890
bec3,e9f6,2f2f,6d0a
7be1,bb9a,97d2,fb7d
535b,ba65,a521,d1e2
fd5f,86a8,3e5e,7e00
3b05,c105,9a1b,c06a
8487,c680,a54f,a532
b1e9,47d2,5d11,5d0b
08dd,154f,6be0,6be0
b47a,7e5b,3bae,7e00
e3cf,660a,fe05,7e00
e78d,3f6f,c6e3,eb07
ae15,ffe7,68d6,7e00
419e,7f1b,1d92,7e00
2272,3ad5,9980,2021
0fc2,17c7,828c,0000
b2b2,4200,6e1c,6e1c
098c,2329,791c,791c
cb5d,318f,6f3b,6f3a
fc68,eaa1,61f6,7e00
6027,abc2,315c,d002
00dd,1bb6,65b9,65b9
2e33,f03f,1fe1,e295
c403,97af,e5c7,e5c7
1b6e,93ef,8411,8411
73ff,5555,7409,7c00
4772,ab0d,dbb2,dbb5
0d75,ed6d,315e,bebb
a862,df2d,5ec1,5f00
5b3c,0381,cda2,cda2
fc21,b15c,8f45,7e00
1dc3,8240,36a2,36a2
f8af,182e,14d9,d4e5
04dc,4c0a,40bd,40be
2f72,5b83,7055,7058
f220,d7a1,9a5e,7c00
5949,f9a2,5cb4,fc00
6bfa,ad1b,1216,dd17
8430,334b,e2dc,e2dc
f401,ae4c,3b63,664f
0e6e,e899,9090,bb65
d52a,4660,053a,e01d
f778,c2d5,b741,7c00
7649,b326,0a19,ed9e
e6dd,6b95,baca,fc00
3715,5157,93b9,4cba
dc1c,5472,4509,f491
41e1,d46d,2e98,da80
6194,f7bc,8e75,fc00
d67a,8fa6,22cc,2be4
0741,cafa,1485,8f38
fcfb,9a00,adf8,7e00
611b,ead5,5f8a,fc00
d7a6,c07b,5cc4,6086
cd91,a613,a54b,3810
edd4,575a,0939,fc00
27b1,36a8,2261,2664
3691,7ea1,e841,7e00
30f4,f3cd,6966,5c90
f540,007d,62db,62db
dd68,891a,b01d,acc8
0655,e14b,2aff,a184
b180,f4e0,f528,f452
ecef,33f8,2970,e4ea
1bbd,a300,1a84,1a84
dbaf,6684,9446,fc00
ff53,8919,9930,7e00
4745,b659,873c,c1c5
4102,1ca6,ce4d,ce4c
5ab0,f50d,4213,fc00
85b9,c1ab,0088,0c0e
9abe,2df9,fdbd,7e00
1d05,b1c1,4e65,4e65
f068,b12a,bb3f,65af
7060,a32b,5804,4220
dc8c,0577,4e8e,4e8c
0eec,89ff,6b76,6b76
eff9,b3a1,50b7,67c0
44c8,a159,c41d,c42a
b337,f07b,e1d5,652a
cb98,3de7,9943,cd9a
fe7c,b72e,191b,7e00
23f5,ed24,b349,d521
d048,2cfa,efff,f000
147e,3723,a380,a340
88dd,a14a,7898,7898
bd4a,5928,2eb6,dad0
4244,7ada,45d6,7c00
f438,9fd2,2df4,5821
6c02,4387,372f,738b
9a3a,c770,8b23,25bc
e2b6,3a4e,974c,e14a
e5dd,a0a8,ac49,4aca
023a,3ca1,ae1d,ae1d
a858,653d,1045,d1b0
fb36,9df3,1364,5d5d
9fd0,0a63,23e7,23e7
105f,8315,a576,a576
9160,73f6,0e15,c959
6b63,5251,fcdb,7e00
c18c,05d1,b716,b717
dfe2,1f91,5c49,5c3a
b9f2,27f9,2c41,298c
b50d,9d9f,91fa,141c
139d,6092,3f44,40b8
faf9,02af,985f,985f
b379,d549,3284,4cfd
3ccd,97a6,b0e9,b0fb
42aa,5592,a14a,5ca4
f9e2,24a6,cbed,e2f6
0f65,dfd5,f9f3,f9f3
533a,72ec,daed,7c00
d85d,3cb3,d95d,dd3e
c4ee,97b1,c0ca,c0c5
90d5,4509,206a,1dca
7352,9975,250e,d0fd
9d3b,9c22,ea22,ea22
2400,5a2e,27be,423d
346c,d46e,44f4,cb52
0511,1c19,813b,0000
3291,f13e,6228,e588
4ad1,242a,47d1,4805
2adf,6d25,64f9,6614
9e9a,16b0,5d37,5d37
33dc,eab0,19a8,e292
bad3,2cbb,8f7e,ac10
5162,0256,c137,c137
aecb,e5bd,6a74,6ac2
b6e2,8a3d,5263,5263
e6a9,0f75,049b,ba35
5c24,2313,d222,d1ad
75b5,fd46,c161,7e00
fd05,d012,2569,7e00
d407,4daf,eddd,ef4b
a5c1,c30f,5574,5575
776d,7e17,a798,7e00
d68c,1476,89c8,af50
c39d,ec08,55be,73b7
74a7,6706,46cf,7c00
37e5,d71f,63bc,634c
7e3b,bf5c,7d6a,7e00
6e32,6a27,7772,7c00
9b4e,810a,b148,b148
8c0f,a918,a59f,a59f
a3ec,76c9,a789,deb8
19dd,15b8,f653,f653
bd28,fd7b,4be1,7e00
7040,309f,e667,ddf8
c75e,d4af,e635,e40d
3c7c,284a,c679,c66f
8228,49f8,1552,1552
6b71,d23c,6486,fc00
a3b4,9ddc,abe9,abe6
5a65,0834,b0e3,b00c
ef60,1863,b399,cc1a
cddc,f33c,8d5c,7c00
b422,9102,456d,456d
dfc4,2de0,193f,d1b4
d88a,3785,3881,d43b
8fcc,5bc0,3bda,3ae8
0327,657e,2269,2269
438e,c862,0d9d,d024
7305,3b61,c014,7279
c6df,b5b8,16b6,40ea
a353,7562,82be,dcee
9f88,0933,af24,af24
bcc5,d9c9,12f4,5ae6
9208,dde0,1a7a,347b
bf8f,fc1f,7565,7e00
4c6f,e2d3,97d3,f390
c502,9b8d,7114,7114
9947,5873,f7f6,f7f6
5ced,2fd7,46ae,51aa
ee14,3529,635f,e428
4e90,5a27,8439,6d0c
ec72,1983,3e29,c95b
4756,6138,7a23,7abc
30fc,7c33,7395,7e00
df58,35c3,ba09,d950
5897,17a2,a771,33d4
8f4d,4e93,6d6d,6d6d
7dfc,c033,86f6,7e00
850d,03a6,ba48,ba48
58f9,76a1,1253,7c00
bb42,edcb,41f2,6d42
686f,dc66,640b,fc00
bb29,c1d5,d2e2,d28e
ace7,fb9e,f9f7,f962
6dc6,0688,a37d,3899
4e32,d424,6c95,69f5
5888,c1cf,e473,e618
5fbf,363e,9d54,5a0b
8148,b58b,4f1a,4f1a
2473,f32e,03f1,dbfc
6148,a1da,231b,c7b6
a022,e96a,00a5,4d98
0e5f,6aa8,f342,f342
7ab7,de88,2182,fc00
da32,f4e3,ca4c,7c00
a9b0,d8e1,0bdd,46f0
f6cf,13e0,06a2,ceb4
880f,ffe5,04a7,7e00
5344,1c07,5db5,5db6
96a0,15b2,badd,badd
8d81,f0a5,f137,f137
f6e5,9a13,2c33,553d
bf88,6140,7241,71a3
abf3,b112,578f,578f
dae8,71c4,ff5f,7e00
a7f7,6513,536a,4cba
7d33,e68d,b679,7e00
c6cc,445a,2ba2,cf61
85b8,d679,d5a1,d5a1
92ba,8e4f,da9b,da9b
9faa,c5a2,0d8e,2970
f902,bfda,db9a,7c00
8e7e,d372,b803,b7a5
acd4,0595,3844,3844
5368,e4e6,5316,fc00
e3d6,838c,963b,963b
391a,0276,3d31,3d31
1bf7,1fce,050b,050b
2c89,a030,1ee5,1e4d
c6db,276a,6c22,6c22
3ba5,48b5,8877,487f
0713,a90b,9b02,9b02
0301,85db,0115,0000
6322,0cec,24f3,34b2
ba08,eb56,34fd,6988
7310,628d,20f3,7c00
e39f,1fba,be67,c87b
7ab9,9c23,6ca0,6c68
13c9,663f,a48c,3e02
3aa1,7f84,adc5,7e00
07a0,4484,8fd7,0000
b66e,6ac7,5d11,e42e
be58,0811,27e3,27d6
2b99,8f53,fd13,7e00
cf66,0567,bf7c,bf7e
ffd7,4753,336c,7e00
4703,c015,af7e,cb37
18d8,db54,6dd1,6dd1
fdec,59ed,20c8,7e00
37eb,2508,8eba,20c5
2d20,eb68,0906,dcbf
b1a0,c841,63f1,63f4
adfe,f1c7,3a60,6455
e3ba,a722,a85c,4ee2
f69f,5300,d674,fc00
535e,b8b3,9c22,d054
ad27,b9ab,8d26,2b43
a213,0560,90d6,90d6
3f82,cc34,848b,cfe4
4687,81bf,eaa8,eaa8
236e,a679,d68a,d68a
8019,2ed6,8625,8625
da84,3d1f,00c4,dc2c
106f,468e,27bc,2852
176a,2733,55d6,55d6
b570,717d,7c1b,7e00
0c92,7535,3179,461f
1c50,f40e,ab0c,d460
ecd6,07d1,c016,c144
f14f,e4bd,1fd3,7c00
4918,d89f,fe94,7e00
fd80,d91b,c85a,7e00
5673,3eda,81ec,5986
51e3,108b,65ce,65ce
2c13,976b,5d52,5d52
ff32,9599,f7ee,7e00
a654,0664,43aa,43aa
d9b1,74c9,239b,fc00
af99,3f4c,5018,5011
5772,fc1e,85d3,7e00
54ce,2591,e0a7,e0a4
0556,5c42,8ebe,2593
340a,e99a,f4a4,f4d1
208b,f9e0,7d9b,7e00
a505,21f9,0345,8b7f
c3ab,10d4,5958,5958
022e,e823,fe51,7e00
242b,7ee6,97c4,7e00
3b96,6196,d056,6107
0c22,b75c,b5c4,b5c4
753c,e2d0,10a5,fc00
dcb3,0e01,d392,d396
c36e,89be,dec2,dec2
25dd,dd60,3216,c7b0
ec19,201d,eb12,eb23
82a6,7e59,60df,7e00
6869,361b,f67e,f648
ddc8,503c,18af,f21f
965e,65ce,ba5f,c237
188c,9055,8de7,8de7
b27a,0d8a,f160,f160
6ed7,45a7,1c6b,78d5
30b2,e245,fbcf,fbd3
879d,ba7e,119d,1263
80cd,63b5,c306,c306
6442,c1de,e489,ec42
e0e0,643c,0f78,fc00
7e65,4524,000e,7e00
6031,df03,9464,fc00
4da9,c3c3,d409,d8c4
baf3,c07a,5295,52d3
077e,629e,cbe3,cbd7
28fc,354b,ccc8,ccc7
e71b,dc61,3fc4,7c00
74dd,0acf,3912,44c6
69f7,834d,afff,afff
422e,2a72,2797,31ee
bab7,d971,3a0a,5897
024c,8549,54dc,54dc
7fe6,915a,4635,7e00
e03a,7ac0,c81f,fc00
1e91,8e83,60cf,60cf
4951,ecd4,b8b2,fa6b
ffae,8135,5998,7e00
067d,0889,8986,8986
197d,26f4,52c0,52c0
8760,93e0,b5fe,b5fe
3d12,fa86,3dee,fc00
782c,9768,51cd,cbb0
3c25,2686,8fad,26a3
9aea,4c42,6a4a,6a4a
a907,2659,4e65,4e65
7e02,b25c,2c0b,7e00
b251,a7f8,08aa,1e70
1b86,3d5d,4ce9,4ce9
c52f,e5f9,7bcf,7c00
95ee,622c,1a18,bc90
9803,4d83,98e5,a9d5
fbb1,e5b9,35c0,7c00
637d,8f69,00c2,b6f0
109b,506d,0dca,252f
06a4,7781,bd48,3f2e
b3fc,283c,96d0,a114
efdf,527c,0f32,fc00
df1e,1254,3ad0,37ff
aff3,cee9,9dd0,42db
a42a,43da,211b,aae5
e2fa,0ca6,56c0,56bc
9d8f,6242,e2ce,e2d7
a343,4a23,217e,b13a
1b1d,195c,e316,e316
c1be,e7c4,6eae,7220
4e0a,cb77,6612,64a9
6cbd,a847,112a,d911
8c4a,af7c,4288,4288
9aed,b118,33d8,33dc
f1cd,b11e,e28c,6426
6340,3a9d,a0c8,61fe
85e7,6a1c,605e,605d
b511,0082,eef6,eef6
2e22,73c1,7c83,7e00
b528,bd4e,2071,36fb
b9d0,cc59,bcde,49b5
4b1d,ea56,a4dd,f9a2
650a,9e20,bd25,c880
7ced,ce04,e2ba,7e00
08f7,9a62,f232,f232
a640,0cc3,9a39,9a39
78af,24b9,21e5,6188
02a4,3086,a3fe,a3fe
623b,1d3a,9589,4412
c320,aab2,e07a,e07a
074d,43a3,f56e,f56e
0325,f4f3,2736,2736
3d9d,df19,395e,e0fa
af29,a9ae,8f92,1c9c
ef67,5a4c,c456,fc00
7bd2,064f,8598,462b
9d7c,85d9,077c,077c
e054,eb11,1708,7c00
35d7,a66e,6967,6967
6710,775d,abff,7c00
9f83,7136,e135,e1d2
6f9b,ac68,8bfe,e030
e5a7,5b08,baa3,fc00
fa87,3cbd,90fb,fbbb
7cd5,15d8,fc79,7e00
b330,fd45,30d9,7e00
b8a9,1501,2a9e,2a87
004b,4f12,ce78,ce78
d964,bcef,a164,5aa6
f640,c7c9,ebbb,7c00
293d,febb,2461,7e00
cb0f,c068,da86,d98d
fb4c,98c3,46e6,588f
cbde,aac9,d38b,d370
ebe1,b25b,9784,6242
bd5b,6ff8,b82e,f156
a60a,7ca1,45ce,7e00
3232,a204,d12f,d12f
4bd4,b31e,b9a7,c430
d186,cb62,3c54,611b
6127,07c4,ad8d,a068
51e1,b709,1351,cd2b
79d0,5ce5,ef30,7c00
77f7,5fdf,6090,7c00
bf77,2ed5,4bd8,4bbe
17b2,c8cf,a1bd,a77e
119d,eb36,9721,c110
f7c4,9ceb,e220,e0ee
ee84,bc67,b429,6f2c
0482,92be,6fa5,6fa5
4f0c,d2f3,5987,e56e
383c,ea9d,4b31,e6f2
1444,f125,e5ba,e5c5
605e,52f7,c101,779b
3e38,5d06,a8cf,5fcf
d189,9a1c,12dd,3041
63d3,b1e9,5ca1,56f4
e1c7,07e1,f861,f861
40ac,fa7e,f5f8,fc00
b663,2246,4ab9,4ab8
454d,9a53,1ce4,a1f0
f320,f35e,74f9,7c00
f660,5d59,12d9,fc00
317d,8bb2,fcbf,7e00
98a5,33cf,b00b,b010
fcbe,c1c0,00bb,7e00
efeb,2d13,f5f8,f620
70f1,fd41,3fde,7e00
3a11,ffa9,11c9,7e00
0d76,6df6,4b05,4c05
5841,f5cf,a444,fc00
f27e,ac7c,c465,633e
2ed5,1579,2c95,2c97
11fe,8d95,1e40,1e40
cbfb,3ce3,1fb0,cce0
3e4c,a58b,72be,72be
fe8c,1272,bdfb,7e00
ce7a,30ef,91bd,c3fd
e83a,ff7a,af8a,7e00
8671,ca51,4ad5,4ad5
cf00,4143,3808,d493
c602,c1c7,9b08,4c57
8551,dd44,0715,2707
4264,b875,79c4,79c4
d996,924f,ac84,2c4c
1de4,09eb,da26,da26
3202,5a19,e3f6,e3ad
0d07,a5d4,8433,8433
7bd1,b6c4,bd85,f69c
577d,2c9a,a978,484a
e8d5,9d95,cde5,c90c
0a37,79e5,1a2a,4894
b41a,962c,a52d,a514
df70,c020,547e,641e
3de9,a65e,0b1b,a8ad
895d,1b61,ee6c,ee6c
dc50,0ab2,32bf,30f1
da22,69a3,b905,fc00
c1ec,e2dc,dcb9,687d
1c7f,df96,810d,c043
70c8,cb37,364e,fc00
bce5,d398,b493,54a0
cdea,f0d5,dfc6,7c00
f391,ae7b,b690,6621
488d,c619,42e7,d282
969f,655c,48e7,4796
c9ba,1646,2138,9f88
60c8,6d0b,6002,7c00
1f9f,7160,d48e,4888
2088,6830,a4ab,4cbd
9e50,c49b,63fc,63fc
c7ac,870c,ab2e,ab13
3c14,4031,78ae,78ae
ba71,3504,7306,7306
d5a5,a324,3552,3e5e
dde8,a19f,9db7,4425
34fd,adaa,6a42,6a42
c666,3f62,a31a,c9ea
67e5,2232,4aaf,50ba
9f47,30f2,28b4,2890
16d2,955d,f42f,f42f
2ce7,e309,125d,d450
1d88,4bef,2cfe,313d
0055,d05e,202d,202d
df89,0823,a009,ac67
acf3,3ff4,4b7b,4b67
241a,e24e,b592,caa4
2e8a,601f,2e93,52c0
502d,023b,75ce,75ce
1c43,2010,3e40,3e40
70b8,eb12,c604,fc00
2a51,8fd0,8436,8436
c569,b9e8,7803,7803
fcb3,3412,eb9e,7e00
8082,49f1,5a42,5a42
1d1c,f8b4,9a87,da02
c977,9284,2c3f,2ccd
f1de,3a1a,7720,74e3
1d39,a53d,b351,b352
31d7,a319,aede,af07
9d0d,8dd8,4e1f,4e1f
4ffa,49e6,8b28,5de2
73fb,16f8,228d,4ef5
982f,b6af,d15a,d15a
6dd5,1525,6f86,6f88
ec20,c96a,1de8,7995
be60,d417,ce19,54ff
3031,82a9,045e,045e
30da,d17c,d28c,d361
8b9e,d6df,c516,c50f
54a4,7fe7,876c,7e00
843a,61b9,2f0f,2c09
a726,4ec7,ca51,cab2
e8f9,675a,4708,fc00
bdbf,ac5b,4d15,4d1b
d24a,1f35,1395,b5a6
23f0,e40d,f2d6,f2d8
b3c1,844e,c1b1,c1b1
ee84,61dc,bdf5,fc00
aae0,70ef,3d6b,e03a
4f5d,7fed,d990,7e00
5f00,cc8d,ccee,effc
de36,cdeb,7210,7554
2c08,417f,e362,e362
435e,e10b,b679,e8a5
2f6c,2541,77f5,77f5
d58e,cda1,ae24,67d1
bf34,7ea8,957b,7e00
83dd,9b4d,75ec,75ec
3903,5b87,7556,755f
1246,f210,af95,c8d0
9c65,2cd9,5787,5787
e715,8d27,eeec,eeec
a395,ac67,3484,3488
ca08,1c3b,b113,b2ab
df55,707a,d721,fc00
ffe2,57a3,f1d2,7e00
a55b,6e7c,cf7e,d947
e646,fde8,5ea5,7e00
6bc2,b81f,30ad,e7fe
bd6c,875e,25ec,25f6
1e18,cb3f,40a0,4074
2b2e,2144,c27d,c27d
611c,70ba,07fa,7c00
7c9e,ee19,b63e,7e00
5db9,c054,42e1,e22a
afe4,12b0,ffc0,7e00
f53a,75bd,7fc3,7e00
98ee,ac2e,f515,f515
85cf,8d6c,42bf,42bf
50ad,1bba,7a9f,7a9f
fb61,82d4,805a,0000
46e9,82a4,e542,e542
a8b3,d9aa,906c,46a7
5a21,12bc,4946,495b
e6dc,cdc2,12ac,78f0
ffe5,22a8,f776,7e00
97b3,ba41,050b,1656
710e,ca7d,26f6,fc00
69f7,c90f,5102,f788
9b9a,20ed,f196,f196
d7bf,bfa0,c12f,5b4d
c65a,3ed7,75b6,75b5
84e5,3e9a,e92e,e92e
239e,07ce,25a2,25a2
50a3,3397,bc90,47a8
7f2c,8961,4abd,7e00
1c80,eb13,d3c5,d4e1
9ac4,eebf,035c,4db5
5345,73b1,a4fe,7c00
f634,41e0,b66c,fc00
39a5,87b3,635c,635c
e06b,16bc,cf49,cf84
f3df,3d18,a7db,f503
e81c,0872,c222,c2b4
2b2e,67b8,5a9f,5d0b
8a7e,cf2d,de23,de23
c846,2189,672d,672d
ba61,aa60,1219,292d
b4af,c0af,980c,3978
929d,10df,fce0,7e00
8dc5,81e3,18c1,18c1
707c,7206,2137,7c00
151d,7eed,9a36,7e00
52d9,14d8,35a0,36a9
64a9,8205,a107,a107
9348,6e7f,724a,7249
a0d7,9945,0a27,0a27
6ab7,524f,a710,7c00
9157,b786,5727,5727
8467,29fb,4939,4939
67bd,415a,5bc9,6d6b
9b35,3808,1b32,1721
6289,f230,6a9d,fc00
2108,2cad,c179,c179
cb7d,9b19,eebf,eebf
d8a1,0ee2,ac7f,b03d
881a,ac53,a4d7,a4d7
679a,f4a8,ce52,fc00
bc11,cd31,472a,4f12
2c28,a7cb,e367,e367
6811,68bc,58c7,7c00
3d63,79e5,1c34,7bf0
