a,b,sub,expected
f03b,7999,0,788a
0edc,79f0,0,79f0
00d7,60d5,0,60d5
dc42,dcdd,0,e090
e4a8,0a37,1,e4a8
e000,38a2,0,dffe
6360,1020,1,6360
2c02,c6aa,1,46ba
d01d,7059,0,7055
7652,fa99,1,7c00
c87c,c496,0,cac7
6b49,07bc,1,6b49
48e6,c5df,0,43da
ba12,b752,1,b4d2
684b,a9df,1,684b
2f46,1095,0,2f4f
bb4d,0c43,0,bb4c
9ba0,a529,1,2435
b662,01b7,0,b662
7f53,07b6,0,7f53
ee88,57b3,1,eea7
4a88,c87f,1,4d84
be11,028b,1,be11
1d9b,4db3,0,4db3
f212,cda0,0,f215
ad96,7ebf,1,febf
6299,cd45,1,62c3
3506,5f28,1,df27
7bc9,52f0,0,7bcb
e58b,7822,0,77eb
a06e,2b0d,1,ac14
6aaf,69e8,0,6e4c
8477,88f3,1,056f
44ba,03c5,1,44ba
2e37,c45f,0,c446
50cf,6a80,1,ea6d
b2de,c061,1,3fe6
11bb,29c4,0,29db
6df2,303c,1,6df2
f683,73ba,0,f14c
6e68,6576,0,6fc6
56a2,7074,1,f067
ae42,f0ab,1,70ab
783d,cba3,1,783d
b2ae,dead,0,deae
3f29,62df,1,e2db
3584,59c9,1,d9c6
b0f9,f179,0,f179
469c,e858,1,685b
afa4,a6d7,1,adee
ccf9,825b,0,ccf9
3c14,c149,0,be7e
2444,c89e,0,c89c
11e7,03a9,1,11e7
0f6d,8326,0,0f6d
2fca,db73,1,5b74
39fe,0a74,1,39fe
877e,900f,1,0e3e
f4c8,dfbf,1,f4a9
29da,9d69,1,2a87
ad7f,50cd,0,50ca
b425,28ec,1,b4c2
33f8,3c41,0,3d40
0581,54c0,1,d4c0
a0e9,adf6,0,ae93
e647,bca6,1,e646
8a66,3c34,1,bc34
a6ac,168a,1,a715
e50a,275e,1,e50a
308b,7958,1,f958
faf7,f8d3,1,f448
7cfa,4109,1,7efa
8673,0354,1,8673
fc5c,aef3,0,fe5c
4772,e5ce,1,65d5
3fc3,d6b6,0,d697
29de,4138,1,c121
cd2e,dbb5,0,dc2d
acce,d806,0,d807
ee04,5804,1,ee24
b143,8d36,0,b146
a001,8f30,0,a03a
da24,87ca,1,da24
39dd,3762,1,3458
ca7b,7732,1,f733
2f96,2bb6,0,31b8
45f7,0401,0,45f7
96fa,40f5,1,c0f6
3496,023e,0,3496
d1c3,ea7d,0,ea94
cd47,e407,0,e41c
2146,e472,0,e472
e69a,23d4,1,e69a
2dd9,aa83,1,308d
1a51,b845,1,384b
e7ae,7162,1,f258
2546,353a,1,b4e6
bf5c,56c8,1,d6e5
e17b,1501,0,e17b
abcf,4488,1,c498
cbcd,3fd2,0,cad3
957b,9bf9,1,193c
4ab5,59f2,1,d987
c65a,fcd4,1,7ed4
3594,e6cc,1,66cc
70aa,31c1,0,70aa
97bd,d367,1,5367
c394,8283,1,c394
f221,317c,0,f221
e583,501e,0,e562
1b5a,3ab9,0,3ac0
f8bd,54aa,0,f8bb
1a53,df16,0,df16
8a88,b719,0,b71a
6645,fade,0,faac
5159,ddf9,0,dd4e
20bd,d379,0,d379
e842,9af0,1,e842
d611,af6b,1,d60f
49d1,1b13,1,49d1
67a6,670c,0,6b59
b415,e8c5,1,68c5
67c0,d0f3,1,67e8
b593,eaf9,0,eaf9
f8cb,d3ae,0,f8cd
30bb,fcf9,0,fef9
66a8,87fa,1,66a8
706d,8257,0,706d
1b3f,e990,1,6990
757b,7ec5,0,7ec5
5955,77b2,1,f7a7
c9bb,7d42,0,7f42
d179,34c6,0,d16f
24f4,71ee,1,f1ee
a03a,0f20,0,a001
0188,d935,0,d935
3d27,3cc2,0,40f4
8449,db8b,0,db8b
8cbd,c8ed,0,c8ed
4dfc,fe68,1,7e68
756d,cdda,1,756e
ae02,0404,1,ae03
a7d8,310a,1,b205
9c1f,f505,1,7505
6ea5,178d,1,6ea5
d3e1,5ab3,1,dc56
0a10,4245,0,4245
f306,3fd7,1,f306
1104,5c37,0,5c37
bc86,a69d,0,bca0
fbb7,9aa6,0,fbb7
42f6,eb16,0,eb14
7c9f,a3ed,1,7e9f
5d29,b69b,1,5d2b
63e4,3ff8,0,63e8
73dd,68da,1,72a6
b7e3,0a2a,0,b7e2
8627,41e8,0,41e8
044e,8f23,0,8e10
d115,719b,1,f1a0
9040,6e72,0,6e72
0041,7cfd,1,fefd
d5d6,a544,0,d5d6
a308,df19,0,df19
4d33,bcac,1,4d7e
27a3,39a5,0,39e2
1c85,a00a,0,9b1e
28d3,cec7,0,cec5
27e7,483d,0,4841
a4cf,3adb,0,3ab5
4e3f,ac1d,0,4e3b
33c1,eae2,1,6ae2
b769,617f,0,617e
afe3,d5b8,1,55b6
d2f9,71e8,1,f1ef
a1e1,eae7,1,6ae7
bdf2,8cc5,1,bdf2
3437,755a,1,f55a
fe68,0673,1,fe68
7fe6,b875,1,7fe6
f996,de76,1,f989
4a97,36f6,1,4a5f
4e54,4f57,0,52d6
5e5c,0338,0,5e5c
6711,e075,1,68a6
777d,fcc8,0,fec8
8ed1,5107,1,d107
8c25,2555,1,a566
48d9,5b8d,0,5bdb
ebac,a9a4,0,ebac
4861,d5b3,1,563f
701c,31ac,1,701c
b4a7,01ff,0,b4a7
2853,2342,0,2a24
fe20,9a7c,1,fe20
2a1e,d89e,0,d89e
ac9e,529a,1,d29c
1d78,41a5,1,c1a2
37af,4adf,1,caa2
57e1,3fb8,1,57c2
1b2e,0e06,1,1a6d
12a9,4f68,0,4f68
56e6,12ac,1,56e6
d58c,229d,0,d58c
1baf,781b,0,781b
52dd,59e8,1,d831
924a,b3a5,1,339f
b066,03a4,0,b066
8260,c1b1,0,c1b1
edb5,a6ef,1,edb5
dd1a,d2ea,0,ddf7
41a1,77f2,0,77f2
e359,e755,0,e981
54ac,ce43,1,563d
f43a,0149,1,f43a
2e77,dd50,1,5d50
687e,003d,1,687e
e8ef,19f1,1,e8ef
31d4,0ab7,1,31d2
2514,8d39,1,2529
77a7,daf6,0,7799
59af,0a36,1,59af
9c1e,f0fd,0,f0fd
747d,3cf6,1,747d
147d,5052,0,5052
ccaf,c151,0,cd59
1746,ba3e,1,3a42
09d5,356a,1,b569
c8f0,9388,1,c8f0
1f6b,a6e7,0,a50c
d595,65fa,1,e653
392e,54ed,1,d4e3
39e1,2484,0,3a05
00a4,cfba,1,4fba
e041,62e0,1,e590
56fc,89a2,0,56fc
f883,1ca1,1,f883
4a01,65e7,1,e5db
5e0e,0f1a,0,5e0e
09bf,0adf,1,8000
c671,b91b,1,c5ce
0356,8c60,1,0c60
b336,5b11,0,5b0f
f96e,7530,0,f5ac
d23c,da41,1,58b2
3c01,59d5,1,d9cd
807d,31b0,0,31b0
635e,ab9c,1,635e
8f6d,c89f,1,489f
f9f9,c676,0,f9f9
4cce,724c,1,f24a
8740,f6dd,0,f6dd
8f74,50b5,0,50b5
659e,30e8,1,659e
c260,2e93,1,c295
631f,5474,0,63ae
0fb3,3381,1,b37d
c352,9cd2,1,c350
f45b,6774,0,f3c8
186f,7e86,1,fe86
3ae7,23aa,0,3b06
ad4c,0bb5,0,ad48
a961,4ca3,1,cca6
dded,60d6,1,e3cc
7f38,3d33,0,7f38
29ac,e337,0,e337
b9d6,adb6,0,ba8d
7c9b,415d,0,7e9b
9575,fc4b,1,7e4b
50af,eed1,0,eec8
6600,2418,1,6600
1c07,81c8,0,1c07
9618,c16f,1,416e
aede,9fbe,0,af5a
b25d,c798,0,c7cb
15e9,c014,0,c013
8885,888d,0,8c89
c28b,645d,0,645a
3cec,b158,0,3c41
ff8a,108e,0,ff8a
e90f,0799,0,e90f
28f1,ee72,1,6e72
a896,f2e6,0,f2e6
77c0,80f2,1,77c0
3004,2a04,1,2d06
7259,5db0,1,722c
4b0d,f009,0,f007
1e9c,4e11,1,ce11
f8ad,5383,0,f8ab
4d9e,838a,0,4d9e
e833,1c91,0,e833
36f0,167f,0,36f6
6fa6,62f3,0,7042
f975,1a75,1,f975
69be,d102,0,69aa
57b4,d3ac,1,59c5
044b,e2ee,0,e2ee
534c,d176,0,4b58
3f1e,9b91,0,3f1a
27f7,61f9,0,61f9
34c5,d25a,0,d250
2c83,9d0e,1,2cd4
cb1e,8d8c,1,cb1e
ac72,8b1d,1,ac6e
da4a,f0d8,0,f0f1
288b,070a,0,288f
e5b3,ce23,1,e59a
33e6,849f,1,33e7
edfb,3f55,0,edfb
ded5,3a3d,0,ded2
d0e1,cf8d,1,c86a
4666,e576,0,e570
d661,bc74,1,d64f
04be,160f,0,165b
c7d4,eb3d,0,eb41
3c4d,d130,0,d10e
52cd,55d3,0,589d
5738,45d2,0,5795
902d,c6ed,1,46ed
3700,b060,1,3898
bad5,2a18,1,bb36
6ef2,7367,0,7570
1e86,5cba,0,5cba
e9d7,e4be,0,ec1b
65e3,1716,1,65e3
7702,144c,0,7702
f319,d2fe,0,f320
e291,1218,1,e291
cf45,be5e,1,cedf
b364,d9a3,0,d9a5
25e8,0794,1,25e0
7179,7808,0,7966
2b2c,7840,0,7840
ba11,64ed,0,64ec
6ca2,c9c0,0,6c9f
df5a,7979,0,796a
e2e6,6afd,1,ec5b
8bee,6646,0,6646
025d,d137,0,d137
d718,0492,0,d718
815f,77e9,1,f7e9
a036,dc98,1,5c98
78ae,096e,1,78ae
5536,1ac3,1,5536
57fd,a149,1,57fd
139a,962e,1,18fe
63f0,2eb9,1,63f0
84b1,1580,0,1535
b2e3,9dbb,1,b2b5
8b40,3a52,1,ba52
6ee9,6e2e,1,61d8
1c23,6834,1,e834
6a99,b304,1,6a99
3d5f,e624,0,e623
fd75,8254,0,ff75
35f8,2b54,0,36e2
8d5f,c200,1,4200
2bac,c735,0,c726
04d3,b172,1,3173
e500,4f3b,0,e4e3
d6d6,2ba4,1,d6d7
5983,cdea,0,58c6
84c5,87c0,0,8a42
2a60,4cb7,1,ccb4
c3fb,ceb2,0,cfb1
6905,2585,0,6905
b41e,0b4e,1,b41f
1bde,0a9d,1,1b74
3864,299b,0,38be
eff7,3af4,1,eff7
fa9d,8698,1,fa9d
f345,e864,1,f22c
0401,9a53,1,1a73
4ccc,495d,0,4f7a
a7d7,6ba4,1,eba4
eae7,16a2,1,eae7
3200,f003,0,f003
eaf7,0ccb,0,eaf7
27de,fc16,0,fe16
b15b,6afd,1,eafd
6bef,9861,1,6bef
56dc,a341,1,56dc
9fb9,3c7d,0,3c75
dcd4,5802,1,ded5
e518,d893,1,e486
c737,cb59,0,cd7a
6998,5949,1,6943
c41d,14f2,0,c41d
d0b1,b897,0,d0c3
4c16,e5a1,0,e591
039c,40de,1,c0de
c6eb,860c,1,c6eb
b54e,523d,0,5232
05f0,be9c,1,3e9c
81c3,3e55,1,be55
9de6,2d3b,1,ad99
9359,8a04,0,946d
e4fd,5b1c,0,e41a
e333,0681,1,e333
3e5c,4b8f,0,4c2d
d64b,3fac,0,d62c
b2dd,759a,1,f59a
7e33,d816,1,7e33
54db,fddc,1,7fdc
7333,5ace,0,734e
e24b,9bc8,1,e24b
0b4e,19ac,1,9937
5980,2952,1,5980
63cf,2ce7,0,63cf
11e8,dd45,1,5d45
4071,9af5,1,4073
b84a,bf7c,0,c0d0
5dc5,7149,1,f11b
9cbd,3778,0,3765
8044,e8ec,1,68ec
e28a,ce59,1,e257
e103,336e,0,e103
2703,8fc0,0,26e4
1bdf,2230,0,2414
318a,a2c3,0,311e
d12a,dd86,0,de2b
979c,87c1,1,9720
8905,ab9e,1,2b99
1d79,8f40,0,1d05
6bf3,e5c0,1,6d6a
839e,7fe1,0,7fe1
ed50,f38b,1,70e3
ac46,bcab,0,bcef
516a,68eb,1,e8d5
d482,0b5c,0,d482
c317,a24c,0,c31d
2312,f6e6,0,f6e6
2bee,5eb0,0,5eb0
03b7,cf2b,1,4f2b
c7fc,8ff6,0,c7fc
8b73,c069,1,4069
e802,34a9,0,e802
2026,c537,1,4539
3392,addc,0,30a4
9a2b,2c8e,1,acbf
3131,c0c2,0,c06f
7761,4bcd,1,7760
da51,deba,1,5b23
2dfa,2d55,0,31a8
8186,b95c,0,b95c
ee20,795d,1,fa21
8af3,2a81,0,2a7a
3e11,fd58,1,7f58
2d32,a795,0,2a9a
fcde,1708,0,fede
196e,6ace,1,eace
acdf,a49e,0,ae06
6764,b833,1,6765
d5a3,bc0d,0,d5b3
9872,4469,1,c46a
2c04,ba06,1,3a86
d415,363e,0,d40f
fddd,0ec3,1,ffdd
a6e8,a6a8,1,9400
f9e0,efce,1,f8e6
f287,736b,1,f6f9
5e73,7f55,0,7f55
fc19,e8d9,1,fe19
28aa,1efb,0,2989
0ac6,ca67,1,4a67
f73e,f18e,1,f477
bbe0,77c4,1,f7c4
6a8b,e9e3,1,6e37
0231,d505,1,5505
6a34,21d8,1,6a34
05c6,5ce8,0,5ce8
cd7c,392d,0,cd53
2b2a,d854,1,5854
6ed2,00d8,0,6ed2
7c4f,6853,1,7e4f
227c,b8dc,0,b8c2
60f9,d791,1,61eb
76d1,7056,1,74a6
a828,a04e,0,a93c
ac79,95d2,1,ac62
b6f3,928c,0,b6f6
29e2,f196,0,f196
7558,e8f1,0,74ba
00e7,9e97,1,1e97
eb4d,607d,0,ea2e
f126,3474,1,f126
fd1c,b70d,0,ff1c
0285,0c62,1,8c62
3f7f,c6e1,0,c501
6f2f,3172,0,6f2f
5f7f,9627,1,5f7f
19f4,264d,0,270c
436f,0e0f,0,436f
feb0,b625,0,feb0
f462,6e07,1,f5e4
165f,0b47,1,1576
5769,ed5d,1,6d7b
869e,58a1,1,d8a1
c1de,364a,1,c2a7
b091,a61f,1,af9a
2d6c,fa7d,1,7a7d
2ca9,d2fb,1,52fd
2506,0da1,0,251d
514a,984e,0,514a
942e,853f,0,9482
57cc,5dab,0,5f9e
7f58,67f7,0,7f58
2b00,396e,0,39de
8162,c1df,1,41df
565b,dfc3,1,60ad
b527,4765,1,c7b7
fe8a,49c8,0,fe8a
fdf4,d00d,0,fff4
49b9,6cfd,1,ecfa
8c8e,fe5e,1,7e5e
56b3,f1d0,0,f1c3
b941,6b39,0,6b39
17a3,ae2c,1,2e4b
3fe8,8fa6,1,3fe8
1476,f82c,0,f82c
56ee,1bdf,0,56ee
8262,7d31,1,ff31
1bfb,2170,0,236f
de24,423d,1,de30
5fd5,8a7b,0,5fd5
2740,cd1c,1,4d1e
a868,ca70,0,ca74
b320,35e0,0,30a0
a2d0,3e4b,0,3e3d
86f8,65f1,0,65f1
850c,d68c,1,568c
a496,54a9,0,54a9
f750,e1be,1,f722
dac0,d792,0,dd44
d94f,7b46,1,fb4b
c83e,421c,0,c56e
c8e4,a2ae,0,c8e6
b284,eb27,1,6b27
8356,c310,1,4310
8ece,25bf,0,25a4
b7fc,550f,0,5507
4370,5dab,1,dd9c
1b72,4187,1,c185
1d97,6910,1,e910
679f,5473,0,67e6
b97d,ac84,1,b8ec
a246,b2fe,1,329a
f79e,8485,0,f79e
ad46,e48f,0,e48f
b087,d29b,0,d2a0
da44,54bb,0,d7cd
6a92,bd49,1,6a93
7962,1a85,1,7962
bb52,eecf,0,eecf
51bd,0a8b,0,51bd
fcfb,061a,0,fefb
679d,7e5d,1,fe5d
1c1e,24c3,0,25ca
0abc,86a2,1,0d06
6f19,f353,1,7570
997e,fa07,1,7a07
536b,472a,1,5286
4c33,c6e7,0,48f2
f948,254c,0,f948
507d,b654,1,508a
2a7d,4d0b,1,cd08
c99e,1650,0,c99e
c2a9,af62,0,c2e4
dae5,92af,1,dae5
c9c3,9a8f,0,c9c3
3eb8,b841,0,3c98
2dde,5ea6,0,5ea6
01b7,e5d3,0,e5d3
8c4b,205d,1,a07f
e6aa,b3b5,0,e6aa
f003,01dc,1,f003
854a,13dd,0,1334
9c9d,e286,0,e286
d01b,d7bb,1,55ae
65a3,64be,1,5b28
948b,9499,1,0000
489a,6621,1,e618
fc65,de2d,1,fe65
8888,e1e1,0,e1e1
34d2,7325,1,f325
2d26,7d57,1,ff57
e381,0be0,0,e381
0bee,bd49,1,3d49
4f7a,7040,1,f03c
ac31,e446,1,6446
0dfd,5aeb,0,5aeb
2e86,88b7,1,2e88
2d74,91b6,1,2d7f
7e78,dd8b,0,7e78
f792,b51d,0,f792
0d49,7754,0,7754
0510,1008,0,10aa
096a,a69e,1,26a9
a8e0,bec6,1,3e9f
e439,a0ba,1,e439
5b21,fe50,0,fe50
825d,eae6,1,6ae6
88f8,6583,0,6583
7535,8b38,1,7535
6da0,762b,1,f4c3
d22a,138a,0,d22a
8c2b,61d7,0,61d7
d771,13aa,1,d771
2370,54b9,1,d4b9
92ea,a6c5,1,268e
c645,1b3a,0,c644
f556,ef9b,0,f73d
0b47,d9e3,0,d9e3
308c,d550,1,5552
a34b,9635,0,a409
1d67,700e,1,f00e
1da7,efad,1,6fad
5cb9,44b5,0,5ccc
0aba,fae3,1,7ae3
0a6f,c3f4,0,c3f4
17b3,0e1e,0,189d
c991,4154,0,c83c
d53a,d6c1,0,d9fe
64ac,6bb2,0,6d04
b29f,2a67,0,b105
2ecd,f979,1,7979
d0da,25b2,0,d0d9
a8d5,754b,0,754b
d4a4,e03f,0,e0d4
8d9c,a7fc,0,a809
d3eb,f80e,1,780c
5da2,7386,1,f359
1b85,9b9a,0,8000
fca9,1a47,0,fea9
b34c,f268,0,f268
07f3,4918,1,c918
57b3,26bc,1,57b3
b7ed,fbc7,1,7bc7
13bc,930d,1,1764
2ec9,3551,1,b33e
1199,8229,1,1199
cfe2,25cb,1,cfe3
75d4,9b1c,1,75d4
7adf,850d,1,7adf
75c8,2c73,0,75c8
9d70,7aec,0,7aec
0008,9fc2,1,1fc2
ca26,c7d4,0,cd08
6418,c7df,1,6420
5c1f,1ae1,0,5c1f
d8fd,cd63,1,d851
2622,8db1,1,2639
806c,bff3,0,bff3
1a3d,01eb,1,1a3d
d6c9,884d,1,d6c9
eba0,54f7,1,ebc8
900f,fc38,1,7e38
12fe,64bf,0,64bf
6a2c,6267,0,6bc6
16c1,43f6,0,43f7
262e,f734,0,f734
7719,e03d,1,773b
1e83,f49f,0,f49f
2030,0b6c,0,204e
b93a,d8fe,0,d903
cf1e,b784,0,cf3c
7095,df42,1,70cf
ea1a,4fc0,1,ea2a
3b18,61f5,0,61f7
66ee,50f7,0,6716
dfe9,863a,0,dfe9
30be,6e2b,0,6e2b
6fc8,5cde,0,700b
96a3,0d9d,1,9805
3acc,9b28,1,3ad3
55f1,6436,0,6495
0f95,b74c,1,374e
e79b,8dce,0,e79b
594b,2f1e,0,594c
98f3,0169,1,98f3
b580,f51b,1,751b
6662,533f,0,669c
1567,2385,0,2419
6fe5,9f1a,0,6fe5
c546,5391,0,52e8
a1bc,d4ed,0,d4ed
743b,78f3,0,7b10
1dca,8398,1,1dca
cb35,e24a,0,e267
68c6,64a0,1,64ec
f333,1009,1,f333
0ff2,cf89,0,cf89
29be,fb50,1,7b50
b13b,33ec,0,2d62
0afd,5c92,0,5c92
c01b,74e6,0,74e6
4865,4942,0,4cd4
30a7,c10c,1,4156
9ead,9da1,1,9430
728a,a404,0,728a
39b5,d8ad,1,58b3
0021,f84e,1,784e
b788,a7b6,1,b70d
9a93,91bc,0,9c01
c14f,c06b,1,b720
994c,86e5,0,9983
a8f1,1550,0,a8c6
0151,c475,1,4475
35d0,8c9a,1,35d1
8e45,9937,1,186e
3fa5,0efb,1,3fa5
94c3,dc84,0,dc84
753d,3eca,0,753d
a7de,7924,1,f924
eb75,484a,1,eb79
7e33,0f9a,1,7e33
34d8,6a41,0,6a41
aeb3,ba85,0,bb5b
d99d,f70d,1,7702
6c4a,969a,1,6c4a
327d,6965,1,e965
f901,5557,1,f904
dbf6,ffd8,1,7fd8
ff33,ea55,1,ff33
8939,cb92,1,4b92
49d9,a916,0,49d4
fa14,0108,1,fa14
324e,01b0,0,324e
d0c8,daf0,0,dc11
05e1,98c8,1,18f7
a459,15df,0,a3f6
3812,d385,0,d375
e25e,3b7d,1,e260
8ff1,c424,0,c424
be66,ae8f,0,becf
5c99,94ff,1,5c99
2838,3fe4,1,bfc2
01a0,222d,0,222d
93e3,21b6,1,a234
27d4,6b5a,1,eb5a
b4f8,8493,1,b4f8
921b,6b38,0,6b38
f4ed,a5d0,0,f4ed
34ae,9c0a,0,349e
320b,b975,1,3af8
7454,790e,0,7b38
8605,e161,1,6161
d7d4,6f80,0,6f61
bc77,6a18,1,ea19
a2fb,c04c,0,c053
17b5,7db6,0,7fb6
04df,903e,1,10da
400d,a213,1,4013
9a31,ac79,0,acab
dcf2,6dc5,1,ee14
3841,61c8,0,61c9
66e2,db18,1,67c5
2d0d,db00,0,daff
249e,1a19,1,23b6
a1c9,3bd3,0,3bbc
780f,d0bd,1,7810
985f,a498,0,a524
00d4,0905,0,0905
cf11,767d,0,767b
7f57,e970,1,7f57
2322,edd3,0,edd3
5692,8549,0,5692
72cf,f0c1,0,6c1c
c935,f6d8,0,f6d9
f66f,70d9,1,f86e
244c,2581,0,28e6
7ecd,faa5,1,7ecd
a1d5,fb8a,1,7b8a
472c,0882,1,472c
3943,7c17,1,fe17
caee,55b1,1,d68f
7f33,bfe3,1,7f33
5dd4,dfb6,1,62c5
6083,d0db,1,60d1
0b3e,9efb,1,1f35
bf7a,66cd,0,66cb
aa80,f3c8,1,73c8
d4eb,3e0a,1,d503
588a,2125,1,588a
fa95,8957,1,fa95
d959,e39a,0,e478
4dc4,32e9,1,4db6
d84d,7e01,0,7e01
dbfa,1857,1,dbfa
f39f,5560,1,f3aa
2422,69a1,1,e9a1
f959,3c92,0,f959
110f,4908,0,4908
ae81,c557,0,c571
1e7e,0513,1,1e6a
967c,825a,1,967c
f4d2,122d,0,f4d2
e4cb,8668,1,e4cb
1125,d485,0,d485
8342,9337,0,9337
6d7a,de29,1,6ddd
c7e0,a848,0,c7e9
7b65,000d,1,7b65
02c8,fa18,1,7a18
71bb,be41,0,71bb
e98b,c8a5,0,e990
e912,dc34,0,e998
fa66,ab6a,1,fa66
e335,430d,1,e33c
29f9,83c4,1,29f9
c883,ae4f,1,c876
489b,44c0,1,4476
dcf7,9ea8,1,dcf7
5f99,b4bd,0,5f98
6f70,3c8e,0,6f70
8034,e355,1,6355
e839,f9b8,0,f9fc
394f,f3b5,0,f3b5
1d2e,4a0b,1,ca0a
5749,ef20,1,6f3d
52f9,a2fd,0,52f9
bb13,1528,1,bb16
f6bd,b033,0,f6bd
a152,23ba,0,1cd0
8dd6,9097,0,9382
db29,0b04,0,db29
b775,dc9e,0,dca0
6ac9,3fa3,0,6aca
e178,15e0,0,e178
0e07,2677,0,268f
518e,dd99,1,5e4b
cb4d,7438,1,f439
380e,7904,1,f904
db84,71c0,1,f1de
0db3,ea54,1,6a54
d62e,9d96,1,d62e
01c2,3ce7,0,3ce7
ad59,0fc2,0,ad51
9442,f1fe,1,71fe
78aa,f22a,0,763f
6c5c,cc75,0,6c58
e990,e266,0,eb2a
ba46,e4f1,0,e4f2
6d83,55be,1,6d6c
b0d2,b206,0,b56c
a2bb,8e9e,1,a286
fb62,8224,1,fb62
a0bf,ed91,1,6d91
d815,7ed0,1,fed0
856e,c5b9,1,45b9
4950,cef6,0,cc4e
5b07,598b,0,5e49
5828,aac7,0,5828
267c,aaf9,0,a776
d262,382a,0,d251
7562,9d6f,1,7562
85cb,c7e1,0,c7e1
a002,baea,0,bafa
7d8a,21c6,0,7f8a
ee6c,f0f1,0,f414
e4e8,1d47,1,e4e8
7e51,dcb6,0,7e51
d6bb,c846,0,d744
242e,33ef,0,343a
979e,c230,1,422f
a21a,df7b,0,df7b
2d00,423e,0,4266
a380,c69e,1,469a
cbf2,7603,1,f604
6a17,1551,0,6a17
8ebc,453d,1,c53d
f089,4cdb,1,f08b
485d,0a03,0,485d
35f5,7d31,1,ff31
60bb,7235,1,f1e9
9626,1d00,1,9e8a
8e44,14a5,0,1228
2e4b,a047,1,2ed4
379c,5fb1,1,dfaf
3a50,b5ef,1,3ca4
92d9,94a9,0,980b
b84e,ae3a,1,b70e
d21b,fcbd,0,febd
5ef7,ae36,0,5ef7
9628,6764,1,e764
6b49,783a,1,f78b
5968,d8c7,1,5d18
00ff,eab8,0,eab8
c805,c5a4,0,cad7
85db,7440,1,f440
22f5,a664,1,28ef
1d1a,aec6,0,ae74
3135,dfd3,1,5fd4
840f,6f45,1,ef45
35e8,024f,1,35e8
0096,02f3,0,0000
fd6b,b928,0,ff6b
d188,09e1,0,d188
ad12,2d6b,0,1d90
a7ad,7c01,0,7e01
bc7b,2392,1,bc8a
ab77,8945,0,ab7c
4c25,72b9,1,f2b7
5093,fcb3,0,feb3
167e,31e0,0,31ed
ec20,b773,1,ec20
1074,f2ba,1,72ba
db4f,2b98,1,db4f
86a4,46af,0,46af
5b37,7b79,0,7b80
35c8,5028,1,d01c
0460,0721,0,09c0
7e0e,ee53,0,7e0e
a457,d53e,0,d53e
ae50,3b0a,0,3a40
61f1,9269,0,61f1
a7ee,4ef7,0,4ef5
43cb,2ad8,1,43b0
e458,0b04,0,e458
9864,0486,0,9840
6464,d0ab,0,643f
af3f,1c21,1,af81
4896,052c,1,4896
98c7,fe49,1,7e49
a90b,eb9d,1,6b9d
2514,2f6f,0,305a
2449,60c5,0,60c5
06c9,a030,1,203e
356d,585a,0,585d
e5ea,8095,0,e5ea
eab5,f4a3,1,7399
68c2,eb9c,0,e5b4
a00d,2b12,0,2a0f
7096,d7db,0,7086
cec1,9fde,1,cec1
de7b,737d,1,f3b1
aa79,7873,0,7873
5392,1c80,0,5392
8ad6,9f9f,1,1f68
205d,b24c,0,b206
c6a8,870e,0,c6a8
9d09,0f11,0,9c98
5e90,146b,1,5e90
cad2,2886,1,cad7
9473,e897,0,e897
0a04,4988,0,4988
51b6,0148,0,51b6
52a3,ede2,1,6def
6c35,155c,1,6c35
ed60,afbd,0,ed60
d90b,d57b,0,dbc8
67c0,6262,0,6978
7d25,0e49,0,7f25
7e32,91d8,1,7e32
025f,6284,0,6284
8959,453b,1,c53b
498c,b922,0,493a
effe,f80f,1,761e
47c7,7164,1,f163
2541,7c79,1,fe79
dc3a,d945,0,dedc
d7df,a245,0,d7df
f278,8afc,0,f278
05a0,6f26,1,ef26
4d85,3897,0,4daa
8c60,567c,0,567c
65d2,6c38,1,e987
4151,90ff,1,4151
48b6,59c0,1,d975
6211,408d,0,6216
a8f5,0ee5,0,a8e7
1846,d435,1,5435
719d,2b27,0,719d
4b7c,4eb1,0,5138
1c1e,35a7,0,35b7
0700,8c19,1,0dd9
e460,e185,0,e722
5f38,60af,0,6426
4025,e931,1,6932
56d2,625e,1,e184
64c7,b628,1,64c7
ac40,92ed,1,ac32
4ee3,3f6f,0,4f5a
822a,1295,1,9295
d58d,b2cb,1,d58a
749d,833a,1,749d
2506,9ab8,1,25dd
35e7,d30d,0,d301
13f1,36c3,1,b6bf
1b1e,77ce,0,77ce
5add,3ece,0,5aeb
3d85,18f4,0,3d87
fe04,b53e,1,fe04
0357,5fff,1,dfff
68f5,7774,0,7809
b948,dfd5,1,5fd2
107e,1ad4,0,1bf4
0642,4e37,0,4e37
8c1c,aac4,0,aacc
44af,58a6,0,58cb
f17a,5f4f,0,f140
a6c1,ea6e,1,6a6e
ed2f,6600,0,eb5e
d2df,c95c,0,d41b
6fda,2445,0,6fda
cdd0,13b5,1,cdd0
184a,f7aa,1,77aa
19cf,699e,1,e99e
638e,7cfd,1,fefd
a34f,8013,0,a34f
e1a4,80f7,0,e1a4
961c,dce0,0,dce0
8cbf,0627,1,8e49
ebcf,fee4,0,fee4
2e31,1477,0,2e43
a1b2,98c5,0,a2e3
55e3,7f62,0,7f62
474f,b26b,1,4782
40d1,8d45,1,40d1
94d8,cbf4,0,cbf4
2d35,5616,0,5617
3be8,5ef2,0,5ef6
c37c,9458,1,c37b
